iter	RMSE
0	76718.45296
1	76228.10369
2	75700.98043
3	75195.16334
4	74745.00199
5	74278.77688
6	73818.34618
7	73414.4879
8	72948.22342
9	72500.26858
10	72045.9595
11	71592.75966
12	71147.48646
13	70694.09494
14	70263.7223
15	69836.10816
16	69379.94548
17	68970.70506
18	68544.30156
19	68120.4026
20	67766.64129
21	67371.68077
22	66971.41176
23	66590.92979
24	66203.83985
25	65854.95409
26	65474.68161
27	65068.60785
28	64754.09971
29	64394.08186
30	64025.82109
31	63654.29392
32	63313.51857
33	62945.41635
34	62596.79362
35	62312.06083
36	61944.85058
37	61620.87321
38	61301.33165
39	60969.58653
40	60664.67051
41	60320.55121
42	59990.66245
43	59671.98144
44	59336.44379
45	59034.65026
46	58729.14534
47	58414.7554
48	58093.69451
49	57777.88838
50	57492.97242
51	57218.46657
52	56904.05974
53	56627.04547
54	56346.88508
55	56045.26463
56	55739.82759
57	55432.90022
58	55155.29095
59	54894.46897
60	54610.87712
61	54354.26648
62	54078.5942
63	53811.49705
64	53524.18929
65	53265.1743
66	53022.14837
67	52745.77504
68	52479.85285
69	52217.76299
70	51941.1634
71	51715.52889
72	51467.54665
73	51233.25381
74	50989.76659
75	50737.75666
76	50493.26212
77	50262.59068
78	50035.8438
79	49799.90719
80	49551.53162
81	49379.51608
82	49154.69877
83	48938.99005
84	48716.87962
85	48486.05904
86	48278.80155
87	48089.95474
88	47884.86584
89	47686.32098
90	47481.73981
91	47262.27721
92	47050.25637
93	46835.73601
94	46606.36738
95	46405.33684
96	46188.13493
97	45952.67506
98	45742.76225
99	45553.30941
100	45339.41751
101	45145.30247
102	44950.78499
103	44765.75268
104	44584.54146
105	44387.30398
106	44185.613
107	44005.2381
108	43836.59672
109	43645.927
110	43447.45943
111	43257.78581
112	43072.25904
113	42919.56623
114	42763.1327
115	42599.08916
116	42416.23234
117	42209.53426
118	42037.26425
119	41895.25374
120	41738.83598
121	41569.18138
122	41403.07348
123	41263.51821
124	41095.99701
125	40957.7225
126	40803.35023
127	40653.43326
128	40503.31357
129	40344.09863
130	40171.7732
131	40038.18017
132	39899.9308
133	39733.53296
134	39601.75313
135	39435.92355
136	39268.37345
137	39134.12552
138	39001.3239
139	38835.93245
140	38694.56557
141	38537.69697
142	38399.10374
143	38264.43835
144	38150.26372
145	38001.02519
146	37861.05929
147	37722.49889
148	37580.42025
149	37445.67687
150	37314.16677
151	37195.10719
152	37083.1693
153	36955.17919
154	36848.41432
155	36745.64633
156	36636.66128
157	36525.09704
158	36413.60223
159	36291.21286
160	36165.58864
161	36040.72133
162	35907.37606
163	35801.68796
164	35695.80287
165	35590.46092
166	35473.72433
167	35362.84716
168	35264.1158
169	35156.18173
170	35040.12396
171	34942.69567
172	34844.47212
173	34748.99374
174	34634.54839
175	34520.69094
176	34423.06104
177	34311.14778
178	34209.8018
179	34125.61885
180	34006.464
181	33909.13671
182	33821.49443
183	33705.23357
184	33601.2535
185	33498.40164
186	33404.27791
187	33296.98473
188	33209.73371
189	33105.01931
190	33019.60469
191	32915.61158
192	32815.46823
193	32730.81135
194	32644.21116
195	32542.41625
196	32466.21675
197	32395.96967
198	32299.08975
199	32203.38087
200	32128.97667
201	32050.13984
202	31953.88618
203	31869.04552
204	31792.91164
205	31716.93105
206	31620.04695
207	31533.05652
208	31444.50067
209	31369.27824
210	31273.24509
211	31187.01275
212	31107.74112
213	31030.25219
214	30933.09507
215	30852.78039
216	30772.76703
217	30710.8475
218	30635.2464
219	30553.61377
220	30488.88179
221	30419.31409
222	30345.90186
223	30279.9962
224	30207.52335
225	30143.88833
226	30072.69327
227	30006.75196
228	29947.6771
229	29878.4297
230	29800.56835
231	29721.86078
232	29642.06578
233	29572.66346
234	29500.69856
235	29452.01338
236	29393.08899
237	29332.98256
238	29246.98824
239	29204.13849
240	29142.99774
241	29079.58378
242	29022.04547
243	28973.21357
244	28908.42246
245	28839.35352
246	28793.02946
247	28720.45168
248	28665.01132
249	28613.47492
250	28555.65136
251	28496.80186
252	28436.34476
253	28374.33354
254	28324.45128
255	28267.95816
256	28211.18424
257	28143.54488
258	28081.97118
259	28016.59619
260	27961.54656
261	27907.48388
262	27856.30717
263	27810.91717
264	27755.24988
265	27702.70337
266	27657.00108
267	27604.96149
268	27560.37935
269	27520.32423
270	27467.54072
271	27418.19649
272	27371.51441
273	27317.63733
274	27271.05209
275	27235.13923
276	27184.83751
277	27129.14122
278	27073.52674
279	27025.16448
280	26972.45885
281	26921.53083
282	26860.38202
283	26815.8902
284	26769.13772
285	26724.70199
286	26682.06721
287	26632.901
288	26598.297
289	26554.33565
290	26496.42527
291	26448.31299
292	26401.46497
293	26360.39699
294	26317.28002
295	26281.81983
296	26238.61074
297	26192.76811
298	26152.91716
299	26097.73197
300	26054.43026
301	26008.32495
302	25959.68965
303	25925.12073
304	25881.40957
305	25833.00556
306	25793.32586
307	25755.84787
308	25713.68966
309	25675.95025
310	25633.43135
311	25592.2753
312	25555.88094
313	25525.13372
314	25483.21943
315	25445.77851
316	25406.91438
317	25360.33369
318	25339.97217
319	25293.26755
320	25262.78643
321	25211.78945
322	25178.20563
