iter	Passed	Remaining
0	47	474673
1	99	496417
2	130	434596
3	160	400182
4	189	378146
5	218	364239
6	249	355617
7	279	349269
8	310	344171
9	339	339186
10	387	352326
11	424	353115
12	474	364831
13	504	359872
14	536	357243
15	573	357642
16	606	356035
17	638	353934
18	672	353332
19	707	353000
20	741	352215
21	777	352588
22	812	352454
23	863	359121
24	931	371831
25	1016	389869
26	1092	403359
27	1132	403455
28	1175	404208
29	1209	401820
30	1241	399327
31	1276	397626
32	1319	398428
33	1354	397105
34	1388	395273
35	1425	394559
36	1463	393990
37	1512	396435
38	1545	394617
39	1585	394859
40	1619	393265
41	1651	391672
42	1688	391089
43	1722	389795
44	1755	388276
45	1791	387649
46	1827	386929
47	1858	385265
48	1891	384159
49	1922	382638
50	1957	381839
51	1984	379688
52	2026	380302
53	2061	379645
54	2103	380304
55	2137	379498
56	2169	378512
57	2200	377152
58	2232	376189
59	2266	375420
60	2291	373329
61	2314	371069
62	2350	370674
63	2382	369806
64	2405	367656
65	2430	365854
66	2469	366081
67	2501	365411
68	2537	365237
69	2569	364446
70	2605	364368
71	2638	363821
72	2674	363703
73	2712	363847
74	2745	363374
75	2781	363206
76	2817	363123
77	2848	362333
78	2875	361148
79	2899	359497
80	2926	358312
81	2936	355227
82	2974	355383
83	3016	356115
84	3053	356237
85	3092	356491
86	3128	356471
87	3163	356312
88	3198	356153
89	3230	355672
90	3267	355835
91	3299	355345
92	3336	355433
93	3373	355540
94	3415	356114
95	3451	356125
96	3488	356175
97	3526	356282
98	3564	356507
99	3601	356586
100	3635	356358
101	3675	356677
102	3712	356710
103	3749	356798
104	3785	356736
105	3824	357020
106	3855	356427
107	3890	356300
108	3924	356136
109	3958	355922
110	3992	355707
111	4041	356811
112	4076	356656
113	4120	357306
114	4151	356816
115	4187	356794
116	4222	356687
117	4254	356327
118	4292	356446
119	4329	356487
120	4366	356531
121	4403	356515
122	4442	356753
123	4478	356707
124	4515	356761
125	4549	356483
126	4585	356468
127	4619	356313
128	4655	356250
129	4692	356237
130	4723	355852
131	4760	355853
132	4798	355969
133	4831	355734
134	4869	355849
135	4906	355881
136	4942	355831
137	4977	355746
138	5015	355843
139	5062	356548
140	5091	356014
141	5117	355292
142	5149	354926
143	5184	354839
144	5219	354718
145	5255	354695
146	5291	354661
147	5327	354622
148	5363	354587
149	5394	354251
150	5428	354069
151	5466	354159
152	5508	354503
153	5542	354377
154	5575	354151
155	5613	354221
156	5649	354174
157	5683	354021
158	5714	353713
159	5746	353414
160	5782	353404
161	5816	353200
162	5851	353148
163	5886	353045
164	5920	352876
165	5937	351757
166	5975	351810
167	6015	352022
168	6067	352981
169	6105	353062
170	6142	353088
